Date,Month,Year,Week,Source,Olive_Type,Condition,Olive_Size,Press_Method,Quantity_Olives_Tons,Oil_Quality_Score,Oil_Quantity_Tons,Waste_Fitoura_Tons,Waste_Margin_Tons,Processing_Time_Hours,Employees_Comptables,Employees_Registeurs,Employees_Ouvriers,Employees_Guards,Total_Employees,Global_Active_Power_kWh,Global_Reactive_Power_kVAr,Voltage_V,Global_Intensity_A,Total_Energy_Consumption_kWh,Water_Consumption_Liters
2021-01-01,1,2021,53,Centre,Barouni,Rainfed,Medium,Super-presses,33.64,71.2,9.17,18.26,6.21,16.7,1,1,5,1,8,1103.53,322.91,241.0,4578.96,1426.43,29916.0
2021-01-01,1,2021,53,Sud,Gerboui,Rainfed,Medium,Méthode en continu,11.42,65.0,2.67,6.92,1.83,4.0,1,2,1,1,5,479.01,91.8,243.0,1971.49,570.81,8886.0
2021-01-01,1,2021,53,Nord,Chétoui,Rainfed,Large,Traditionnel,63.78,91.1,16.52,28.68,18.58,45.6,1,1,15,1,18,1794.7,319.56,241.8,7421.85,2114.26,64909.0
2021-01-01,1,2021,53,Centre,Zarazi,Rainfed,Medium,Méthode en continu,22.21,61.7,6.24,12.7,3.26,8.0,1,2,2,1,6,1200.03,166.23,240.3,4992.93,1366.25,25360.0
2021-01-01,1,2021,53,Centre,Zalmati,Rainfed,Small,Super-presses,35.54,73.3,10.01,15.68,9.86,18.4,1,1,5,1,8,1598.34,356.14,239.1,6685.86,1954.48,32752.0
2021-01-02,1,2021,53,Centre,Zalmati,Rainfed,Medium,Traditionnel,29.88,77.6,7.1,14.75,8.03,21.9,1,1,5,1,8,945.87,163.49,244.8,3863.14,1109.36,26631.0
2021-01-02,1,2021,53,Sfax,Oueslati,Rainfed,Medium,Traditionnel,28.97,88.6,7.49,14.13,7.34,20.8,1,1,5,1,8,738.08,200.47,235.5,3133.54,938.55,20690.0
2021-01-02,1,2021,53,Sud,Chétoui,Irrigated,Small,Super-presses,19.03,81.1,5.04,11.1,2.9,9.2,1,1,1,1,4,825.77,106.24,246.7,3346.8,932.01,12570.0
2021-01-02,1,2021,53,Centre,Barouni,Rainfed,Small,Super-presses,22.43,68.9,6.0,13.01,3.42,13.3,1,1,3,1,6,833.47,104.22,239.7,3476.63,937.7,17761.0
2021-01-03,1,2021,53,Sud,Chétoui,Rainfed,Large,Traditionnel,15.22,79.8,3.9,7.4,3.92,10.4,1,1,2,1,5,418.69,79.62,236.7,1768.99,498.31,8823.0
2021-01-03,1,2021,53,Nord,Zalmati,Rainfed,Medium,Méthode en continu,41.62,82.7,13.21,20.69,7.72,13.2,1,2,4,1,8,1988.24,358.96,235.4,8444.56,2347.19,49801.0
2021-01-03,1,2021,53,Centre,Zalmati,Rainfed,Large,Super-presses,25.66,77.3,7.65,11.73,6.28,13.6,1,1,3,1,6,885.19,218.2,242.7,3646.91,1103.39,23526.0
2021-01-03,1,2021,53,Sfax,Oueslati,Irrigated,Medium,Méthode en continu,37.45,100.0,14.03,16.31,7.11,13.4,1,2,3,1,7,1536.28,431.3,254.3,6041.02,1967.58,32580.0
2021-01-03,1,2021,53,Sud,Zalmati,Irrigated,Large,Méthode en continu,23.16,70.0,6.4,12.06,4.71,8.3,1,2,2,1,6,1095.85,291.32,244.5,4482.48,1387.17,21341.0
2021-01-04,1,2021,1,Sfax,Zalmati,Rainfed,Medium,Méthode en continu,49.48,82.1,15.86,21.74,11.88,17.3,1,2,4,1,8,2466.26,399.65,240.1,10272.33,2865.91,49654.0
2021-01-04,1,2021,1,Nord,Zalmati,Rainfed,Small,Super-presses,66.09,85.4,20.43,34.81,10.85,35.5,1,1,10,1,13,2338.67,655.6,237.6,9840.84,2994.26,60604.0
2021-01-04,1,2021,1,Sud,Chemlali,Irrigated,Medium,Super-presses,23.03,61.1,5.3,13.8,3.92,15.4,1,1,3,1,6,941.66,120.03,247.8,3800.67,1061.69,12060.0
2021-01-05,1,2021,1,Nord,Zalmati,Irrigated,Small,Méthode en continu,71.43,100.0,26.06,31.27,14.1,24.9,1,2,8,1,12,3647.82,550.73,243.9,14956.27,4198.55,103436.0
2021-01-05,1,2021,1,Sud,Barouni,Irrigated,Medium,Méthode en continu,12.38,63.6,4.27,5.94,2.17,4.5,1,2,1,1,5,637.15,146.3,248.0,2569.39,783.45,9868.0
2021-01-06,1,2021,1,Sud,Oueslati,Rainfed,Large,Méthode en continu,16.31,64.2,5.16,8.62,2.53,4.8,1,2,1,1,5,861.16,93.46,237.7,3622.57,954.62,14903.0
2021-01-06,1,2021,1,Sud,Chétoui,Rainfed,Large,Méthode en continu,10.49,72.6,2.6,4.77,3.12,3.4,1,2,1,1,5,528.95,124.83,239.6,2207.67,653.78,11057.0
2021-01-06,1,2021,1,Sfax,Chétoui,Rainfed,Large,Super-presses,32.97,91.4,9.82,15.01,8.13,17.4,1,1,5,1,8,1472.72,297.63,245.4,6001.91,1770.35,21816.0
2021-01-06,1,2021,1,Sud,Oueslati,Rainfed,Small,Méthode en continu,14.77,68.1,4.36,7.07,3.34,5.2,1,2,1,1,5,602.86,139.05,246.2,2448.53,741.91,14441.0
2021-01-06,1,2021,1,Sud,Gerboui,Rainfed,Medium,Méthode en continu,3.88,68.5,1.09,1.75,1.03,2.4,1,2,1,1,5,170.09,44.29,230.8,737.13,214.38,4100.0
2021-01-06,1,2021,1,Nord,Zalmati,Irrigated,Large,Traditionnel,68.49,98.6,17.86,31.27,19.36,48.9,1,1,15,1,18,2223.03,382.42,241.3,9213.18,2605.45,69865.0
2021-01-07,1,2021,1,Sfax,Oueslati,Rainfed,Small,Méthode en continu,22.47,89.7,7.35,9.85,5.27,8.1,1,2,2,1,6,1252.72,341.91,240.8,5202.81,1594.63,20958.0
2021-01-07,1,2021,1,Sfax,Zalmati,Rainfed,Medium,Super-presses,33.08,69.6,9.08,18.81,5.18,19.1,1,1,5,1,8,1247.41,298.17,246.7,5056.15,1545.58,25198.0
