Date,Month,Year,Week,Source,Olive_Type,Condition,Olive_Size,Press_Method,Quantity_Olives_Tons,Oil_Quality_Score,Oil_Quantity_Tons,Waste_Fitoura_Tons,Waste_Margin_Tons,Processing_Time_Hours,Employees_Comptables,Employees_Registeurs,Employees_Ouvriers,Employees_Guards,Total_Employees,Global_Active_Power_kWh,Global_Reactive_Power_kVAr,Voltage_V,Global_Intensity_A,Total_Energy_Consumption_kWh,Water_Consumption_Liters,Water_Consumption_m3,Electricity_Price_TND_per_kWh,Water_Price_TND_per_m3,Electricity_Cost_TND,Water_Cost_TND,Total_Utility_Cost_TND,Hourly_Wage_Ouvriers_TND,Hourly_Wage_Comptables_TND,Hourly_Wage_Registeurs_TND,Hourly_Wage_Guards_TND,Ouvriers_Cost_TND,Comptables_Cost_TND,Registeurs_Cost_TND,Guards_Cost_TND,Total_Labor_Cost_TND,Total_Operational_Cost_TND
2021-01-01,1,2021,53,Centre,Barouni,Rainfed,Medium,Super-presses,33.64,71.2,9.17,18.26,6.21,16.7,1,1,5,1,8,1103.53,322.91,241.0,4578.96,1103.53,29916.0,29.916,0.352,0.2,388.441,5.983,394.424,2.5,6.0,3.5,3.0,208.275,99.972,58.317,49.986,416.55,810.974
2021-01-01,1,2021,53,Sud,Gerboui,Rainfed,Medium,Méthode en continu,11.42,65.0,2.67,6.92,1.83,4.0,1,2,1,1,5,479.01,91.8,243.0,1971.49,479.01,8886.0,8.886,0.352,0.2,168.612,1.777,170.389,2.5,6.0,3.5,3.0,10.093,24.222,28.26,12.111,74.686,245.075
2021-01-01,1,2021,53,Nord,Chétoui,Rainfed,Large,Traditionnel,63.78,91.1,16.52,28.68,18.58,45.6,1,1,15,1,18,1794.7,319.56,241.8,7421.85,1794.7,64909.0,64.909,0.352,0.2,631.734,12.982,644.715,2.5,6.0,3.5,3.0,1710.488,273.678,159.646,136.839,2280.651,2925.366
2021-01-01,1,2021,53,Centre,Zarazi,Rainfed,Medium,Méthode en continu,22.21,61.7,6.24,12.7,3.26,8.0,1,2,2,1,6,1200.03,166.23,240.3,4992.93,1200.03,25360.0,25.36,0.352,0.2,422.41,5.072,427.482,2.5,6.0,3.5,3.0,40.005,48.006,56.007,24.003,168.02,595.501
2021-01-01,1,2021,53,Centre,Zalmati,Rainfed,Small,Super-presses,35.54,73.3,10.01,15.68,9.86,18.4,1,1,5,1,8,1598.34,356.14,239.1,6685.86,1598.34,32752.0,32.752,0.352,0.2,562.616,6.55,569.167,2.5,6.0,3.5,3.0,229.927,110.365,64.38,55.182,459.854,1029.02
2021-01-02,1,2021,53,Centre,Zalmati,Rainfed,Medium,Traditionnel,29.88,77.6,7.1,14.75,8.03,21.9,1,1,5,1,8,945.87,163.49,244.8,3863.14,945.87,26631.0,26.631,0.352,0.2,332.946,5.326,338.272,2.5,6.0,3.5,3.0,274.352,131.689,76.819,65.845,548.705,886.977
2021-01-02,1,2021,53,Sfax,Oueslati,Rainfed,Medium,Traditionnel,28.97,88.6,7.49,14.13,7.34,20.8,1,1,5,1,8,738.08,200.47,235.5,3133.54,738.08,20690.0,20.69,0.352,0.2,259.805,4.138,263.943,2.5,6.0,3.5,3.0,259.612,124.614,72.691,62.307,519.224,783.167
2021-01-02,1,2021,53,Sud,Chétoui,Irrigated,Small,Super-presses,19.03,81.1,5.04,11.1,2.9,9.2,1,1,1,1,4,825.77,106.24,246.7,3346.8,825.77,12570.0,12.57,0.352,0.2,290.672,2.514,293.186,2.5,6.0,3.5,3.0,23.053,55.327,32.274,27.663,138.317,431.503
2021-01-02,1,2021,53,Centre,Barouni,Rainfed,Small,Super-presses,22.43,68.9,6.0,13.01,3.42,13.3,1,1,3,1,6,833.47,104.22,239.7,3476.63,833.47,17761.0,17.761,0.352,0.2,293.382,3.552,296.935,2.5,6.0,3.5,3.0,99.749,79.799,46.549,39.899,265.997,562.931
2021-01-03,1,2021,53,Sud,Chétoui,Rainfed,Large,Traditionnel,15.22,79.8,3.9,7.4,3.92,10.4,1,1,2,1,5,418.69,79.62,236.7,1768.99,418.69,8823.0,8.823,0.352,0.2,147.378,1.765,149.143,2.5,6.0,3.5,3.0,51.943,62.332,36.36,31.166,181.802,330.945
